SCRIP NAME,Security Name,GROUP,FACE VALUE,INDUSTRY,SECTOR,Previous Close,Open,High,Low,VWAP,52 Wk High,52 Wk Low,Upper Price Band,Lower Price Band,2W Avg Qty`(Lakh),TTQ (Lakh),Turnover (Cr.),Mcap Full (Cr.),Mcap FF (Cr.),Face Value,EPS (TTM) ,CEPS (TTM),PE,PB,ROE,Turnover (Lakh)
GEECEE,GeeCee Ventures Limited,B ,10.00,Residential- Commercial Projects,Consumer Discretionary,140.8,142.9,144.55,139.6,142.05,211.25,111.2,169.40(20%),113.00(20%),,,,295.27,94.49,2.0,8.73,9.44,16.18,0.58,3.57,6.2
GAYAPROJ,GAYATRI PROJECTS LTD.,B ,2.00,Civil Construction,Industrials,13.21,13.22,13.75,12.85,13.19,60.65,12.5,15.66(20%),10.44(20%),1.99,1.91,,244.29,144.13,2.0,-49.48,-45.41,-0.26,3.21,-1218.6,25.25
FIEMIND,FIEM INDUSTRIES LTD.,B ,10.00,Auto Components & Equipments,Consumer Discretionary,1622.6,1655.0,1677.15,1606.0,1634.01,1716.3,695.4,"1,996.80(20%)","1,331.20(20%)",,,,2189.8,722.63,10.0,72.39,116.96,22.99,3.38,14.71,80.52
JHS,JHS SVENDGAARD LABORATORIES LTD.,B ,10.00,Personal Care,Fast Moving Consumer Goods,22.3,22.7,23.05,22.05,22.56,33.4,19.45,27.35(20%),18.25(20%),0.19,0.12,,147.97,76.95,10.0,-0.38,0.53,-60.62,0.78,-1.29,2.82
DCBBANK,DCB Bank Limited,A ,10.00,Private Sector Bank,Financial Services,84.8,85.45,86.3,84.35,85.25,105.1,68.05,101.30(20%),67.60(20%),0.65,0.76,,2626.66,2206.4,10.0,11.28,11.28,7.49,0.65,8.67,64.97
GLOBALVECT,GLOBAL VECTRA HELICORP LTD.,B ,10.00,Airline,Services,49.6,50.85,55.3,49.9,52.65,89.0,39.4,60.70(20%),40.50(20%),,0.21,,70.84,17.71,10.0,-3.89,52.09,-13.01,1.75,-13.47,11.07
INSPIRISYS,Inspirisys Solutions Ltd,T ,10.00,IT Enabled Services,Information Technology,56.4,54.55,59.2,54.55,58.91,100.5,40.6,62.15(5%),56.25(5%),,,,234.53,70.36,2.0,0.07,1.45,808.73,3.25,0.4,1.71
GTLINFRA,GTL INFRASTRUCTURE LTD.,B ,10.00,Telecom - Infrastructure,Telecommunication,1.34,1.34,1.47,1.34,1.43,3.27,1.08,1.59(10%),1.31(10%),396.49,644.82,9.23,1830.38,1775.47,10.0,-1.17,-0.77,-1.24,-0.67,53.78,
SHIVAMAUTO,SHIVAM AUTOTECH LTD.,B ,2.00,Auto Components & Equipments,Consumer Discretionary,45.6,45.85,46.05,43.8,44.62,50.0,19.55,47.30(5%),42.80(5%),0.88,0.76,,550.61,137.65,10.0,-1.3,2.05,-34.78,3.97,-11.43,33.73
NAUKRI,INFO EDGE (INDIA) LTD.,A ,10.00,Internet & Catalogue Retail,Consumer Discretionary,4259.05,4298.0,4328.0,4261.2,4303.34,7462.95,3314.0,"4,744.00(10%)","3,881.50(10%)",0.26,0.22,9.45,55627.63,33376.58,10.0,690.51,693.58,6.25,3.98,63.74,
TORNTPOWER,TORRENT POWER LTD.,A ,10.00,Electric Utilities,Utilities,531.2,528.25,543.05,528.1,539.88,606.05,416.0,594.85(10%),486.75(10%),0.16,0.39,2.09,25991.76,9097.11,10.0,8.52,34.2,63.44,2.61,4.11,
PARSVNATH,PARSVNATH DEVELOPERS LTD.,B ,5.00,Residential- Commercial Projects,Consumer Discretionary,8.15,8.15,8.25,7.9,8.04,27.05,6.93,8.36(5%),7.58(5%),0.64,0.54,,346.84,100.58,10.0,-4.81,-4.73,-1.66,0.34,-20.44,4.38
SUTLEJTEX,SUTLEJ TEXTILES & INDUSTRIES LTD.,B ,1.00,Other Textile Products,Consumer Discretionary,64.9,65.25,66.0,64.85,65.56,104.85,54.15,78.60(20%),52.40(20%),,,,1073.08,289.73,5.0,9.5,16.83,6.89,0.95,13.77,2.38
DAAWAT,LT FOODS LTD.,A ,1.00,Packaged Foods,Fast Moving Consumer Goods,87.15,88.3,89.7,87.55,88.47,100.55,58.75,106.00(20%),70.70(20%),1.97,1.06,,2825.83,1215.11,10.0,3.46,4.46,25.54,2.71,10.59,93.63
SOBHA,Sobha Limited,A ,10.00,Residential- Commercial Projects,Consumer Discretionary,673.5,673.5,683.8,673.4,679.58,1045.0,480.35,812.20(20%),541.50(20%),0.17,0.15,1.02,6419.64,2439.46,10.0,11.89,19.06,56.91,2.71,4.77,
RUCHIRA,RUCHIRA PAPERS LTD.,B ,10.00,Paper & Paper Products,Commodities,130.45,131.05,135.2,130.7,132.86,138.75,69.9,159.35(20%),106.25(20%),0.4,0.14,,347.36,118.1,1.0,12.65,18.18,10.5,1.12,10.69,18.43
TANLA,Tanla Platforms Ltd,A ,1.00,Software Products,Information Technology,766.35,779.9,780.0,743.0,759.84,2094.4,584.8,787.95(5%),712.95(5%),4.08,1.11,8.44,10187.02,5399.12,10.0,7.94,8.43,94.55,14.54,15.38,
ZEEMEDIA,Zee Media Corporation Limited,B ,1.00,TV Broadcasting & Software Production,Consumer Discretionary,14.9,15.2,15.2,14.75,15.06,25.15,8.6,17.90(20%),12.00(20%),1.4,1.15,,935.02,626.46,4.0,-2.08,-1.01,-7.19,1.54,-21.38,17.37
SITINET,Siti Networks Ltd,B ,1.00,TV Broadcasting & Software Production,Consumer Discretionary,1.78,1.79,1.86,1.78,1.85,5.74,1.31,1.95(5%),1.77(5%),11.0,9.18,,162.2,152.47,1.0,-2.93,-0.81,-0.64,-0.25,39.27,17.0
LUMAXTECH,LUMAX AUTO TECHNOLOGIES LTD.,B ,2.00,Auto Components & Equipments,Consumer Discretionary,228.2,229.2,237.0,227.1,232.45,263.5,128.1,279.00(20%),186.00(20%),0.31,0.18,,1584.67,697.25,10.0,8.6,12.51,27.03,3.23,11.96,41.28
AUTOIND,AUTOLINE INDUSTRIES LTD.,B ,10.00,Auto Components & Equipments,Consumer Discretionary,77.5,80.9,81.8,75.65,78.95,82.6,46.5,85.50(10%),70.00(10%),0.25,0.22,,295.16,141.68,10.0,1.92,7.08,40.45,7,17.31,17.34
NETWORK18,NETWORK18 MEDIA & INVESTMENTS LTD.,A ,5.00,Media & Entertainment,Consumer Discretionary,67.85,68.2,68.95,67.5,68.04,117.4,45.5,81.75(20%),54.55(20%),1.41,0.72,,7134.95,1712.39,10.0,-0.94,-0.89,-72.4,7.56,-10.45,49.07
HUBTOWN,HUBTOWN LTD.,B ,10.00,Residential- Commercial Projects,Consumer Discretionary,71.95,75.0,79.1,72.65,78.5,89.3,26.9,87.00(10%),71.20(10%),0.95,3.36,2.63,575.34,322.19,2.0,-16.62,-16.18,-4.76,0.41,-8.63,
TV18BRDCST,TV18 BROADCAST LTD.,A ,2.00,TV Broadcasting & Software Production,Consumer Discretionary,38.35,38.55,39.0,37.9,38.46,82.55,33.1,45.65(20%),30.45(20%),4.93,2.2,,6523.14,2609.26,5.0,0.85,1.15,44.56,2.14,4.81,84.62
CTE,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD.,B ,10.00,Computers - Software & Consulting,Information Technology,59.0,57.0,67.5,57.0,64.57,117.4,45.7,75.05(20%),50.05(20%),,0.14,,122.79,61.4,10.0,1.05,1.88,59.67,2.89,4.84,9.22
TIIL,TECHNOCRAFT INDUSTRIES (INDIA) LTD.,B ,10.00,Iron & Steel Products,Industrials,971.35,977.0,990.0,963.05,982.1,1235.0,626.6,"1,181.80(20%)",787.90(20%),,,,2409.11,602.28,10.0,90.65,113.24,10.86,2.06,18.92,2.87
REDINGTON,REDINGTON (INDIA) LTD.,A ,2.00,Trading & Distributors,Services,139.65,140.65,146.3,139.5,143.48,179.25,109.55,173.70(20%),115.80(20%),3.53,4.88,7.0,11311.71,8370.66,1.0,12.66,13,11.43,4.44,38.82,
AICHAMP,AI CHAMPDANY INDUSTRIES LTD.,XT,5.00,Jute & Jute Products,Commodities,20.55,21.4,21.55,21.4,21.48,22.65,13.3,22.60(5%),20.50(5%),,,,66.27,27.17,10.0,-0.97,0.12,-22.14,0.96,-4.32,0.53
CINELINE,Cineline India Limited,B ,5.00,Residential- Commercial Projects,Consumer Discretionary,149.5,147.15,150.7,146.0,147.31,174.75,74.15,162.40(10%),132.90(10%),0.22,,,466.08,130.5,10.0,-2.34,-0.27,-63.18,3.32,-5.26,6.97
PGIL,Pearl Global Industries Limited,B ,10.00,Garments & Apparels,Consumer Discretionary,423.45,427.35,434.85,410.5,427.39,598.0,284.75,499.20(20%),332.80(20%),,,,901.22,225.3,1.0,12.54,20.67,33.19,2.62,7.91,1.85
FSL,FIRSTSOURCE SOLUTIONS LTD.,A ,10.00,IT Enabled Services,Information Technology,105.45,104.7,107.7,104.6,105.94,222.65,93.0,115.55(10%),94.55(10%),2.49,2.7,2.86,7321.89,3221.63,1.0,5.1,6.39,20.59,3.16,15.33,
PFC,POWER FINANCE CORPORATION LTD.,A ,10.00,Financial Institution,Financial Services,118.65,119.95,119.95,118.6,119.01,153.75,97.15,130.65(10%),106.95(10%),3.76,0.58,,31364.17,13800.24,10.0,21.74,21.76,5.46,0.82,15,68.83
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,A ,2.00,Civil Construction,Industrials,453.15,456.7,460.0,450.8,454.41,563.5,339.8,547.25(20%),364.85(20%),,,,3054.97,1374.74,10.0,23.18,28.19,19.68,2.95,14.98,2.17
TFL,TRANSWARRANTY FINANCE LTD.,B ,10.00,Non Banking Financial Company (NBFC),Financial Services,7.95,8.6,8.6,7.5,8.39,14.54,4.25,8.83(10%),7.23(10%),,,,19.64,8.84,10.0,-1.19,-1.1,-6.77,1.12,-16.55,0.59
CANDC,C & C CONSTRUCTIONS LTD.,Z ,10.00,Civil Construction,Industrials,2.75,2.75,2.8,2.62,2.76,9.07,2.57,2.91(5%),2.65(5%),0.34,0.38,,7.07,4.81,10.0,-,18.79,-,0.03,9.45,1.04
INDIANB,INDIAN BANK,A ,10.00,Public Sector Bank,Financial Services,174.75,175.7,177.85,173.3,175.88,194.8,115.15,209.25(20%),139.55(20%),0.81,0.48,,21720.49,4344.1,10.0,31.93,31.93,5.46,0.5,9.1,83.8
SMSPHARMA,SMS PHARMACEUTICALS LTD.,B ,1.00,Pharmaceuticals,Healthcare,87.3,88.0,88.65,86.3,87.13,199.15,71.0,105.05(20%),70.05(20%),,,,741.13,244.57,10.0,8.04,11.84,10.89,1.5,13.78,2.39
ORIENTALTL,ORIENTAL TRIMEX LTD.,B ,10.00,Furniture- Home Furnishing- Flooring,Consumer Discretionary,15.96,15.95,16.3,15.32,15.62,16.94,7.92,18.64(20%),12.44(20%),0.43,0.75,,44.31,31.91,10.0,-2.06,-1.54,-7.55,0.63,-8.31,11.76
MINDTREE,MINDTREE LTD.,A ,10.00,Computers - Software & Consulting,Information Technology,3531.3,3545.0,3578.0,3525.9,3553.67,5059.15,2650.0,"3,922.40(10%)","3,209.30(10%)",0.56,0.3,10.81,58782.14,22925.03,10.0,108.04,122.82,33.01,10.74,32.54,
ELAND,E-Land Apparel Limited,X ,10.00,Other Textile Products,Consumer Discretionary,5.4,4.95,5.73,4.95,5.19,11.19,3.74,5.85(10%),4.79(10%),0.13,0.17,,25.53,8.68,10.0,-5.96,-5.16,-0.89,-0.06,6.83,0.9
RAJTV,RAJ TELEVISION NETWORK LTD.,B ,5.00,TV Broadcasting & Software Production,Consumer Discretionary,48.45,47.25,50.8,47.25,49.96,64.3,33.0,52.75(5%),47.75(5%),,,,260.86,75.65,2.0,0.2,1.52,249.63,1.83,0.73,0.4
PAGEIND,PAGE INDUSTRIES LTD.,A ,10.00,Garments & Apparels,Consumer Discretionary,49032.2,49242.35,49242.35,48092.2,48496.76,49800.0,29965.5,"53,074.85(10%)","43,424.95(10%)",,,1.62,53817.33,28523.19,5.0,481.03,539.73,100.31,49.44,49.29,
AMDIND,AMD INDUSTRIES LTD.,B ,10.00,Packaging,Industrials,54.35,53.05,57.0,53.05,55.49,67.55,25.1,66.70(20%),44.50(20%),0.24,0.27,,106.57,35.17,1.0,4.28,9.87,13,0.76,5.85,14.98
LEHAR,Lehar Footwears Ltd,X ,10.00,Leather And Leather Products,Consumer Discretionary,45.85,47.0,48.6,44.15,47.57,56.9,30.45,57.20(20%),38.20(20%),0.22,0.19,,65.25,20.88,1.0,1.83,4.24,26.05,0.92,3.53,9.19
ASTRAL,Astral Ltd,A ,1.00,Plastic Products - Industrial,Industrials,1965.15,1968.0,2000.0,1958.1,1982.06,2525.0,1584.0,"2,194.05(10%)","1,795.15(10%)",0.19,0.2,3.98,40076.74,17633.76,10.0,20.15,25.37,99,19.97,20.18,
IBREALEST,INDIABULLS REAL ESTATE LTD.,A ,2.00,Residential- Commercial Projects,Consumer Discretionary,71.25,71.75,73.5,71.1,72.36,195.9,58.05,86.20(20%),57.50(20%),5.6,3.78,2.74,3277.19,2883.93,10.0,-1.04,-1.01,-69,0.61,-0.89,
CAMLINFINE,CAMLIN FINE SCIENCES LTD.,A ,1.00,Specialty Chemicals,Commodities,112.95,113.7,115.95,112.65,114.69,213.0,97.2,138.50(20%),92.40(20%),0.17,,,1813,1033.41,10.0,1.65,3.35,70.08,3.06,4.37,7.1
ICRA,ICRA LTD.,A ,10.00,Ratings,Financial Services,3824.55,3821.0,3842.75,3792.75,3821.3,4511.0,3263.65,"4,601.90(20%)","3,068.00(20%)",,,,3701.2,1776.58,10.0,75.96,81.5,50.49,5.57,11.03,2.52
